,incidentType,disasterType,DisasterLength,state,year,month,year_month
4952,Freezing,DR,3,FL,1990,1,1990_01
4965,Freezing,DR,3,FL,1990,1,1990_01
4966,Freezing,DR,3,FL,1990,1,1990_01
4982,Freezing,DR,3,FL,1990,1,1990_01
5026,Freezing,DR,3,FL,1990,1,1990_01
5049,Freezing,DR,3,FL,1990,1,1990_01
5071,Freezing,DR,3,FL,1990,1,1990_01
5074,Freezing,DR,3,FL,1990,1,1990_01
5083,Freezing,DR,3,FL,1990,1,1990_01
5109,Freezing,DR,3,FL,1990,1,1990_01
5153,Freezing,DR,3,FL,1990,1,1990_01
5253,Freezing,DR,3,FL,1990,1,1990_01
5464,Freezing,DR,3,FL,1990,1,1990_01
5505,Freezing,DR,3,FL,1990,1,1990_01
5588,Freezing,DR,3,FL,1990,1,1990_01
5594,Freezing,DR,3,FL,1990,1,1990_01
5618,Freezing,DR,3,FL,1990,1,1990_01
5686,Freezing,DR,3,FL,1990,1,1990_01
5689,Freezing,DR,3,FL,1990,1,1990_01
5691,Freezing,DR,3,FL,1990,1,1990_01
5701,Freezing,DR,3,FL,1990,1,1990_01
5703,Freezing,DR,3,FL,1990,1,1990_01
5711,Freezing,DR,3,FL,1990,1,1990_01
5732,Freezing,DR,3,FL,1990,1,1990_01
5765,Freezing,DR,3,FL,1990,1,1990_01
5803,Freezing,DR,3,FL,1990,1,1990_01
5818,Freezing,DR,3,FL,1990,1,1990_01
6097,Freezing,DR,3,FL,1990,1,1990_01
6319,Freezing,DR,3,FL,1990,1,1990_01
6354,Freezing,DR,3,FL,1990,1,1990_01
6393,Freezing,DR,3,FL,1990,1,1990_01
6520,Freezing,DR,3,FL,1990,1,1990_01
33692,Flood,DR,4,OR,1990,1,1990_01
33731,Flood,DR,4,OR,1990,1,1990_01
38243,Freezing,DR,4,TX,1990,1,1990_01
38728,Freezing,DR,4,TX,1990,1,1990_01
39322,Freezing,DR,4,TX,1990,1,1990_01
39985,Freezing,DR,4,TX,1990,1,1990_01
39992,Freezing,DR,4,TX,1990,1,1990_01
40357,Freezing,DR,4,TX,1990,1,1990_01
40383,Freezing,DR,4,TX,1990,1,1990_01
40709,Freezing,DR,4,TX,1990,1,1990_01
40733,Freezing,DR,4,TX,1990,1,1990_01
40927,Freezing,DR,4,TX,1990,1,1990_01
44572,Flood,DR,9,WA,1990,1,1990_01
44727,Flood,DR,9,WA,1990,1,1990_01
44733,Flood,DR,9,WA,1990,1,1990_01
44817,Flood,DR,9,WA,1990,1,1990_01
44870,Flood,DR,9,WA,1990,1,1990_01
44910,Flood,DR,9,WA,1990,1,1990_01
44952,Flood,DR,9,WA,1990,1,1990_01
165,Severe Storm(s),DR,14,AL,1990,2,1990_02
315,Severe Storm(s),DR,14,AL,1990,2,1990_02
345,Severe Storm(s),DR,14,AL,1990,2,1990_02
